Country Name,GDP (current US$),Internet users (per 100 people),Rural Population,Population total,GDP per capita (current US$),Labor force total,Labor force female (% of total labor force),Armed forces personnel (% of total labor force),Surface area (sq. km),Population density (people per sq. km of land area),Arable land (% of land area),Unemployment total (% of total labor force) (modeled ILO estimate),Unemployment female (% of female labor force) (modeled ILO estimate)
Greenland,0,64.8792,8387.8,56676.6,0,0,0,0,410450,0.138084,0.00219272,0,0
Georgia,1.49E+10,37.512,2.10E+06,4.48E+06,3325.8,2.40E+06,46.5326,1.34998,69700,78.4427,6.0023,15.175,14.05
Belgium,5.14E+11,80.9,251834,1.11E+07,46284.9,4.91E+06,45.499,0.702787,30530,366.607,27.0476,7.825,7.8
Mauritania,4.89E+09,6.08,1.59E+06,3.78E+06,1292.51,1.19E+06,26.5305,1.7568,1.03E+06,3.66625,0.412341,31.075,28.125
Mauritius,1.14E+10,35.828,751123,1.26E+06,9070,580252,37.6859,0.409069,2040,618.549,38.0542,8.15,12.975
Tonga,4.27E+08,29.8,80141.2,104767,4076.05,41988.2,42.6524,0,750,145.509,22.2222,0,0
Saudi Arabia,6.84E+11,53.34,5.16E+06,2.95E+07,23140,1.08E+07,14.5224,2.32294,2.15E+06,13.7194,1.45649,5.625,19.675
France,2.77E+12,80.442,1.39E+07,6.56E+07,42144.8,2.99E+07,47.0237,1.10158,549088,119.857,33.4062,9.7,9.95
French Polynesia,0,53.6713,119893,273850,0,117002,41.1759,0,4000,74.8223,0.68306,0,0
Faeroe Islands,2.43E+09,85.1855,28393,48393,50276.2,0,0,0,1396,34.6655,2.149,0,0
Poland,5.14E+11,63.2058,1.49E+07,3.80E+07,13519,1.82E+07,45.0841,0.802319,312680,124.224,35.6295,9.925,10.6
Puerto Rico,1.01E+11,62.996,228267,3.64E+06,27522.2,1.26E+06,42.5645,0,8870,410.255,6.66291,15.2,12.325
Bosnia and Herzegovina,1.77E+10,52.378,2.32E+06,3.83E+06,4612.55,1.48E+06,38.0051,0.709853,51210,74.7542,19.6387,27.825,30.35
Thailand,3.58E+11,27.272,3.58E+07,6.72E+07,5331.59,3.95E+07,45.4136,1.14121,513120,131.51,31.7534,0.775,0.775
Zimbabwe,1.20E+10,16.536,9.80E+06,1.46E+07,820.661,7.28E+06,49.2925,0.697933,390760,37.7091,10.4692,5.4,5.55
Honduras,1.80E+10,16.398,3.64E+06,7.73E+06,2324.2,3.13E+06,34.2709,0.638954,112490,69.1253,9.1161,4.45,6.075
Haiti,7.84E+09,9.834,4.65E+06,1.03E+07,760.917,4.33E+06,47.3932,0.00124543,27750,373.27,38.3708,7.2,8.225
Channel Islands,0,0,110970,161293,0,0,0,0,190,848.908,22.5921,0,0
Australia,1.42E+12,80.4095,2.50E+06,2.27E+07,62161.3,1.20E+07,45.2583,0.473472,7.74E+06,2.96048,5.97406,5.3,5.375
Ireland,2.31E+11,75.9195,1.73E+06,4.59E+06,50405.5,2.19E+06,44.2746,0.435217,70280,66.584,15.8078,14.075,10.625
Estonia,2.31E+10,78.526,425256,1.32E+06,17507.8,693873,49.41,0.828712,45230,31.2019,14.921,12.075,10.9
Jamaica,1.42E+10,35.2997,1.24E+06,2.71E+06,5254.37,1.27E+06,44.7729,0.223748,10990,249.944,11.0803,13.45,17.475
